iter	MAE	RMSE
137	0.8087421174	1.109038143
138	0.8022849712	1.10243978
139	0.796857656	1.094847579
140	0.789358706	1.084787993
141	0.7846330448	1.079269174
142	0.7745898056	1.0655812
143	0.7699734253	1.060220772
144	0.7629552565	1.051437862
145	0.7565056887	1.043814227
146	0.7505033568	1.036198908
147	0.7455314697	1.030918642
148	0.7420476651	1.025146257
149	0.7377432674	1.019998462
150	0.7301168665	1.010170578
151	0.7253518244	1.00503578
152	0.7212064452	0.9992784281
153	0.7158493849	0.9921681299
154	0.7097281178	0.9835628987
155	0.7045268833	0.9759258069
156	0.6999607364	0.9674993487
157	0.6954574085	0.9622092463
158	0.6895670604	0.9555151597
159	0.683117666	0.9477946105
160	0.6796514602	0.9445428893
161	0.6756101007	0.938464543
162	0.6714711545	0.9308313746
163	0.6689024117	0.9270714038
164	0.6652976733	0.9208279494
165	0.6599229912	0.9125838181
166	0.656077772	0.9068026488
167	0.6515256722	0.9013745374
168	0.6477840297	0.8959672575
169	0.6436154953	0.89021265
170	0.6388034264	0.8835160061
171	0.6357187861	0.8785291992
172	0.6313524372	0.8730498203
173	0.629294412	0.8702870597
174	0.6244213493	0.8632455991
175	0.6155172831	0.8518471827
176	0.6115646286	0.8463291921
177	0.6051384027	0.8379069438
178	0.5975995218	0.8294942229
179	0.5927773725	0.8227294168
180	0.5876236702	0.8169265769
181	0.5843820617	0.8133280495
182	0.5804787657	0.8088209748
183	0.5748558122	0.8021524433
184	0.5716412273	0.7977766085
185	0.5659421417	0.7909729639
186	0.5617400014	0.7846695379
187	0.5529184764	0.7738473523
188	0.5502214913	0.7699176109
189	0.5477434359	0.7658629902
190	0.544412327	0.7620667382
191	0.5391510469	0.7544228989
192	0.5355052559	0.750125601
193	0.5303485065	0.7445549979
194	0.5259187904	0.7392873152
195	0.5227635062	0.7359696098
196	0.5198891426	0.7320065838
197	0.5158679593	0.7258723819
198	0.5126472903	0.722199467
199	0.5089202404	0.7167757021
200	0.5045972174	0.7120341664
201	0.5011742884	0.7073317124
202	0.4973146269	0.7027155457
203	0.4940005322	0.6985184162
204	0.4903517933	0.6934731465
205	0.48542786	0.6872093352
206	0.4818006337	0.6817893494
207	0.4788012481	0.6781386201
208	0.4748522053	0.6729814188
209	0.4723715657	0.6695563885
210	0.4691341839	0.6642273307
211	0.4648776303	0.6581143387
212	0.4602022792	0.652097237
213	0.4575327721	0.6486546107
214	0.4545219246	0.6447713247
215	0.4495050786	0.6380034861
216	0.4456968441	0.6326329846
217	0.4432966731	0.6292892624
218	0.4403214239	0.6251954409
219	0.4365891527	0.6200176312
